"lower/upper",3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,"{{0.1482127310948473, 0.0032080545627366343}, {-5.19403671964981, 0.009163344822941876}}","{{0.13323380208837227, 0.002221577824676067}, {-5.16907183797235, 0.00788994212873453}}","{{0.1246637633232853, 0.0016484719659718748}, {-5.151931760442181, 0.0070013672017056995}}","{{0.1189928490295711, 0.0013111426535912449}, {-5.138699627090179, 0.006415308926651489}}","{{0.11501872102874662, 0.001090459337388969}, {-5.128101952421314, 0.00595521403316928}}","{{0.11229970593778779, 0.00094210396368071}, {-5.119944907148437, 0.005597046276740045}}","{{0.11096479804831176, 0.000827418047988577}, {-5.1154952141835155, 0.005270943029086125}}","{{0.11062044939528742, 0.0007486745219642667}, {-5.114232602455758, 0.005020163069516526}}","{{0.11114268567989229, 0.0006792186732189082}, {-5.116321547594179, 0.0047695633462087215}}","{{0.11235805908489406, 0.0006313412757235175}, {-5.121588165682518, 0.004579261550214608}}","{{0.11414151666317152, 0.0005968660838016369}, {-5.1299109677144825, 0.004412559579363233}}","{{0.11645820526380117, 0.0005668140020493593}, {-5.14149441071763, 0.004266879663207186}}","{{0.11910425951542758, 0.0005543687355709713}, {-5.155606700059637, 0.0042587434357866565}}","{{0.12196264960214613, 0.0005520743295005086}, {-5.171804243884375, 0.004245957416980647}}","{{0.12492622578223206, 0.0005574234466392248}, {-5.189585700964893, 0.004288057318351127}}","{{0.12804223001644022, 0.0005668445932581823}, {-5.20932039444821, 0.004426246319509124}}","{{0.13136013996425178, 0.0005795296027956451}, {-5.231439794100287, 0.004596441217562404}}","{{0.13475280645854174, 0.0006392774598904046}, {-5.255188459560316, 0.005103132648204547}}","{{0.13816667698230378, 0.000726776643109194}, {-5.280223510067906, 0.005737974375268654}}","{{0.1414703672762706, 0.0008477526869287939}, {-5.305551802321653, 0.0066985140142425455}}","{{0.1446896446805111, 0.0009649174149567951}, {-5.331283142088011, 0.007694852445037659}}","{{0.14799059101094345, 0.0011386472929705654}, {-5.358784423022916, 0.009340400748107935}}"
2,"{{0, 0}, {0, 0}}","{{0.11499987939427203, 0.0016926376555229756}, {-5.108292095658684, 0.007041711482339905}}","{{0.11126178259369064, 0.001311237331833839}, {-5.0983238375238, 0.006357070533439704}}","{{0.10868329487432803, 0.0011304910930182023}, {-5.090588374365711, 0.006053172672211917}}","{{0.10682097559164382, 0.000996505056750127}, {-5.084380643423433, 0.005754343288146948}}","{{0.10566731202815373, 0.0008862673259564118}, {-5.080150543690633, 0.005459225090400218}}","{{0.10565677564371795, 0.0007950394418162261}, {-5.080108398152891, 0.005170573103038094}}","{{0.10641546560215373, 0.0007334360869258851}, {-5.083396054639445, 0.00496140033101272}}","{{0.10788314590230559, 0.00067151256536694}, {-5.090245229373485, 0.004720378477013498}}","{{0.10991213988596053, 0.000628969501835286}, {-5.100390199291763, 0.004543439933236644}}","{{0.11240049359377274, 0.0005949429968232141}, {-5.11366141906676, 0.004363364762065866}}","{{0.11534144552825298, 0.0005716166388138785}, {-5.1303268133621485, 0.004260328752047133}}","{{0.11852504463519009, 0.000567299424146122}, {-5.14942840800377, 0.004338421421542584}}","{{0.12184178205083616, 0.0005718484451216476}, {-5.170434411636197, 0.004398545879476829}}","{{0.12519091369734656, 0.0005803994661561712}, {-5.192761955946268, 0.0044917324838522725}}","{{0.12864236691027137, 0.0005919095298961237}, {-5.216922128436741, 0.0046861481588579374}}","{{0.13226225164185895, 0.0006087539866570886}, {-5.2434679498017145, 0.004939403078671931}}","{{0.13591708180106252, 0.0006750154297800471}, {-5.271488314355607, 0.005570712231054966}}","{{0.13955591184294888, 0.0007675459802935328}, {-5.3005989546907, 0.006308108563797694}}","{{0.14304193122580344, 0.0008947978600443899}, {-5.329649116214491, 0.00739970135123572}}","{{0.14641119971733207, 0.0010156055510499283}, {-5.358828022677145, 0.008497035886252809}}","{{0.14985440655551224, 0.0011908612165239295}, {-5.389848015432394, 0.01018456040776226}}"
3,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.10594673751622946, 0.0012306260763980481}, {-5.075291975521467, 0.006423244539829779}}","{{0.1047365284759179, 0.0011229261131952407}, {-5.070854542373658, 0.0062926342981758625}}","{{0.10370798803952211, 0.0010080551037573691}, {-5.066740380628076, 0.006005328764755097}}","{{0.10320743247224369, 0.0009011921578039329}, {-5.064571306503202, 0.005683677648405099}}","{{0.10389670842251526, 0.0008094190350772776}, {-5.06778792760447, 0.005360778246393939}}","{{0.1052850876758595, 0.0007503310918828732}, {-5.074729823871191, 0.005150098844374177}}","{{0.10733011424855597, 0.0006884265895351888}, {-5.085636632258908, 0.004897350967988131}}","{{0.10987551335969123, 0.0006485775459900837}, {-5.100060560555337, 0.004735689958198102}}","{{0.11282295438279114, 0.0006135162681610347}, {-5.117745206693936, 0.004542060545922373}}","{{0.11618365484151508, 0.000594277833312765}, {-5.139029642932526, 0.004483273868037115}}","{{0.1197274677628639, 0.0005965631615912156}, {-5.162655062408184, 0.004656270955991388}}","{{0.12334625007679151, 0.0006052928740881714}, {-5.187986538605677, 0.004780693799772898}}","{{0.12694133687270892, 0.0006145426515417134}, {-5.214350508442404, 0.004907051535386834}}","{{0.1306054188403296, 0.0006248594997321432}, {-5.242441803527495, 0.005122903661771283}}","{{0.13442022507797893, 0.000645000163257337}, {-5.272960253428689, 0.005454062627816445}}","{{0.13824137265085878, 0.0007197751143391451}, {-5.304803149869355, 0.006237063677691295}}","{{0.142018575239281, 0.000819628082129365}, {-5.337538905635682, 0.007109600525435059}}","{{0.14560693022078755, 0.0009554138305298388}, {-5.369834100469242, 0.008367703732789895}}","{{0.14905258227887475, 0.0010825743179304088}, {-5.401970604515676, 0.009607631385536759}}","{{0.1525668914190612, 0.0012727418449119433}, {-5.435960258112728, 0.011590509185000588}}"
4,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.10373498903343237, 0.0011875563895470448}, {-5.065512998680404, 0.006783405220111003}}","{{0.10269294810008377, 0.0010386754965503486}, {-5.060650140991445, 0.00633364286226934}}","{{0.10239818628167033, 0.0009188386100610912}, {-5.059176331899379, 0.005935376257609269}}","{{0.10358696961222147, 0.0008260215158278741}, {-5.065516509662317, 0.00559336552713002}}","{{0.10546052545517837, 0.000773025807138665}, {-5.076133326105738, 0.005420173237631171}}","{{0.10797294922621824, 0.000712349647927115}, {-5.091207868731976, 0.005179187333332665}}","{{0.11094114036701427, 0.0006756858267978808}, {-5.1100064126236875, 0.005051406063730406}}","{{0.11426494419326964, 0.0006427799473089282}, {-5.132165104798723, 0.004879176867548447}}","{{0.11797450113349293, 0.000630390692885178}, {-5.1581320033802855, 0.004907223337587516}}","{{0.12181047515973667, 0.0006394972563577148}, {-5.186262479572743, 0.005192651407814913}}","{{0.1256655305378263, 0.0006522932961684999}, {-5.215817904138094, 0.005390343926925664}}","{{0.1294428753815848, 0.0006601600225066389}, {-5.246036662888165, 0.005530516715647956}}","{{0.13326196314370414, 0.0006694628978254051}, {-5.2778623942391585, 0.005771347104169524}}","{{0.13722155212313825, 0.0006932772041088298}, {-5.3121788320609165, 0.006190752957037436}}","{{0.14116267858163223, 0.0007791668617974227}, {-5.347648970187366, 0.007167131410977877}}","{{0.14503498079868177, 0.0008878394757795109}, {-5.3837904575464925, 0.008204871264692007}}","{{0.14868354098251546, 0.00103390563368209}, {-5.419059872656883, 0.009665997212849416}}","{{0.15216596986220615, 0.0011682110096806748}, {-5.453860397571201, 0.011073879677600217}}","{{0.15571873472517303, 0.0013742794904149783}, {-5.490592208751999, 0.013376686454562315}}"
5,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.101455738065863, 0.0011397586673276153}, {-5.052814477441379, 0.00721936196851196}}","{{0.10163220035534883, 0.0009652046728046705}, {-5.0538144304151285, 0.006495569807882294}}","{{0.10360289138865252, 0.0008659271923998386}, {-5.065638576614953, 0.006104872589997834}}","{{0.1060956585871163, 0.0008140686076237929}, {-5.081426102205225, 0.005944103277986123}}","{{0.10914445111218557, 0.0007507296302408121}, {-5.101751385705686, 0.005696049652669164}}","{{0.11256181456668908, 0.0007145294775775812}, {-5.125672929887207, 0.005586690409705709}}","{{0.11626409164329583, 0.0006847880964646767}, {-5.152822961782325, 0.005452115750284819}}","{{0.12031573048155833, 0.0006803027225915068}, {-5.183885526209005, 0.005588248917351951}}","{{0.12442347626747036, 0.0006968531737538214}, {-5.216747492496303, 0.005996824339353901}}","{{0.1284855406906202, 0.0007135114340575591}, {-5.250598029355883, 0.006268124734995242}}","{{0.13241016779452638, 0.00071879728531859}, {-5.284611464256402, 0.006407544205156161}}","{{0.13635094060652883, 0.0007279682685669192}, {-5.3200784195644255, 0.00668540690847773}}","{{0.14042661112151072, 0.0007575595574422366}, {-5.358118011037587, 0.007224945932110933}}","{{0.14445974601251949, 0.0008552394326436333}, {-5.397104981650675, 0.008407916767702426}}","{{0.14839972291029427, 0.0009724470601445109}, {-5.436504750628419, 0.009613110313514214}}","{{0.15207981843548612, 0.0011288718401761676}, {-5.474532404388741, 0.011286057561867367}}","{{0.15557111772993304, 0.0012698443511505555}, {-5.511747911322558, 0.012861718581126311}}","{{0.15913830754957548, 0.0014894845906873037}, {-5.551004661983108, 0.015460374495478522}}"
6,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.10153260763781292, 0.0009889822051018442}, {-5.053084083819864, 0.006996052181091886}}","{{0.10453844054653266, 0.0008958716826685574}, {-5.073122969877996, 0.006640248039677396}}","{{0.10765409496123021, 0.0008530006662350502}, {-5.094932550780878, 0.006545115351549529}}","{{0.11119967286995153, 0.0007980202889141598}, {-5.1209334554448365, 0.006387434065473799}}","{{0.11500621966638022, 0.000769472874986625}, {-5.150116980884122, 0.006364217186448325}}","{{0.11902296473721562, 0.0007456558299234649}, {-5.182250941450806, 0.006302254513948921}}","{{0.12336188485199791, 0.0007492848973909193}, {-5.2184086090739905, 0.006559477659538417}}","{{0.1276819489210058, 0.0007707968195894737}, {-5.255849164338724, 0.007069879317684795}}","{{0.13189012093862992, 0.0007874130137685925}, {-5.29372271249734, 0.0073725162204321334}}","{{0.13590142251851955, 0.0007866740482345663}, {-5.331161527242975, 0.0074686651582098595}}","{{0.13991135195944626, 0.0007952341526409139}, {-5.3699241785052685, 0.007780462043793888}}","{{0.1440606309261513, 0.0008315078560287344}, {-5.411416968172318, 0.008458258826313106}}","{{0.14814698116200936, 0.0009421877512163859}, {-5.453642587276184, 0.009870537489900664}}","{{0.15211855077832007, 0.0010681108776342217}, {-5.496005996516834, 0.011250443884603296}}","{{0.15579408955729598, 0.0012358132344477979}, {-5.536436923085569, 0.013156810157946654}}","{{0.15926041605533503, 0.001383511637549834}, {-5.57569574896286, 0.014909018837710841}}","{{0.1628143855755252, 0.0016179271774336037}, {-5.617174066450207, 0.01782521134297057}}"
7,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.10678518658686378, 0.0009796518593827236}, {-5.091845853547423, 0.007701125781585529}}","{{0.11033529518874591, 0.000912776384908644}, {-5.11906335282852, 0.007395713514231638}}","{{0.11422662416995027, 0.0008698596904578931}, {-5.150193984678153, 0.007385280438584406}}","{{0.11829303613185489, 0.0008497144251919004}, {-5.184080751027357, 0.007467136969989564}}","{{0.12251833223279185, 0.0008301406341860188}, {-5.2206999839021435, 0.007472401045138636}}","{{0.12706814050237783, 0.0008354460394877072}, {-5.26164825832842, 0.007792083029743452}}","{{0.13152460644219033, 0.000857287736600744}, {-5.303241940433333, 0.008359195709268564}}","{{0.13580588135910338, 0.0008723366608494996}, {-5.344627597963497, 0.00867738144114867}}","{{0.1398345540588867, 0.0008643708706977312}, {-5.38491432496133, 0.008716327832041773}}","{{0.14385728314990617, 0.0008750689488093835}, {-5.42648252556853, 0.009107260847006717}}","{{0.14803784638987982, 0.000920358847052594}, {-5.471075200128245, 0.009966062015272914}}","{{0.15213978730747132, 0.0010444907748618716}, {-5.516196550221755, 0.011623425993660978}}","{{0.15610852538656142, 0.0011791740841776484}, {-5.561175581784778, 0.013187616177904654}}","{{0.1597447596868789, 0.0013597240976160564}, {-5.603598315288477, 0.015365478458681062}}","{{0.16315363065536412, 0.001514630687358237}, {-5.6444758735633735, 0.017312348479270784}}","{{0.16667015670134777, 0.0017656412042039722}, {-5.687863203756951, 0.02060370592738984}}"
8,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.11421003647183783, 0.0010614833233931708}, {-5.155227604804043, 0.009061172786739584}}","{{0.11810965930209731, 0.0009894522839595087}, {-5.189024335999628, 0.008887819131059141}}","{{0.12224942199590245, 0.0009601209606371564}, {-5.226282200243868, 0.008929390248336135}}","{{0.12656435484247308, 0.000940979206299365}, {-5.266554906811866, 0.008982625150811302}}","{{0.13125810187202913, 0.0009425082265090552}, {-5.311927794764239, 0.009321619931930803}}","{{0.13578119395438348, 0.0009631726212699853}, {-5.3571587155877785, 0.009943266384607853}}","{{0.14006795496123403, 0.0009759832654639362}, {-5.4014552459919045, 0.010277948345360948}}","{{0.1440499474805471, 0.0009584433206282079}, {-5.443929832864573, 0.010236352627623348}}","{{0.1480376466932684, 0.000975074549950444}, {-5.48779452420451, 0.010775123030375002}}","{{0.15221824321601163, 0.0010326266941921268}, {-5.535174618128935, 0.011878122210213756}}","{{0.1563081139938271, 0.001173294780269418}, {-5.582889777203447, 0.013844736253885544}}","{{0.16024833941473623, 0.0013163158229914308}, {-5.630172482254357, 0.015604416243518167}}","{{0.16381742975133953, 0.0015101424909044552}, {-5.674191263072466, 0.018081637246417013}}","{{0.16714271668172323, 0.001670818047036734}, {-5.716279422037839, 0.020215427219429104}}","{{0.17060502039574502, 0.0019387166453845054}, {-5.7613139927190335, 0.02391981727093789}}"
9,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.12167635560208762, 0.0012474273459356022}, {-5.225880197766193, 0.011979507296055738}}","{{0.1261026514928089, 0.0011563566807902108}, {-5.268667724709839, 0.011447647451979927}}","{{0.13060226567924013, 0.0011001284422704268}, {-5.313663866574147, 0.011150892021884318}}","{{0.13551462477306178, 0.0010722422496305976}, {-5.364424910543639, 0.01121996715731174}}","{{0.1401138794786506, 0.0010887837530853676}, {-5.413483627403252, 0.011872981389579486}}","{{0.1443891593561458, 0.0011000727703226966}, {-5.4605117060557, 0.012239324831000488}}","{{0.14829577145865944, 0.001071380182152219}, {-5.504786643217519, 0.012102450459226399}}","{{0.15223184571830395, 0.0010955539396751337}, {-5.5507075095800396, 0.012826863995866111}}","{{0.15640996905881127, 0.0011687308823237737}, {-5.600844989666132, 0.014239255782874691}}","{{0.16048286399246245, 0.0013280425381949203}, {-5.651077360514494, 0.016562484360506335}}","{{0.16438700870910627, 0.0014785687527647834}, {-5.700529860258648, 0.018517492349386197}}","{{0.16787473062317157, 0.0016874890565611188}, {-5.745870245141499, 0.021343834273999125}}","{{0.1711014721438561, 0.0018529623557276282}, {-5.788856605510275, 0.023661544142562666}}","{{0.17450106673923887, 0.002144083889125355}, {-5.8353388732454174, 0.027920942863860748}}"
10,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.13057534071687793, 0.0014368432475150427}, {-5.319358202582624, 0.015132106312589388}}","{{0.13508841738449656, 0.0012829144403318936}, {-5.367497687037224, 0.013765516148258588}}","{{0.14017125943374387, 0.001227502117953591}, {-5.423408949578943, 0.013587363056684445}}","{{0.1447513874876325, 0.001249803788088777}, {-5.475317067523015, 0.014408180369830723}}","{{0.14892317361327495, 0.0012577256973806297}, {-5.523987905655507, 0.01478554636889479}}","{{0.15267293517713662, 0.0012102813206774407}, {-5.568985044421851, 0.014453769602558274}}","{{0.1565109895570393, 0.0012445625714811706}, {-5.616321048440654, 0.01541759728913068}}","{{0.16066890879790072, 0.0013416611432543132}, {-5.6689880254915614, 0.017284831656317935}}","{{0.16470797740329068, 0.001525634348008469}, {-5.721495917361629, 0.020081499467011807}}","{{0.16855862733757054, 0.0016810665418533638}, {-5.772837916485361, 0.02221028662451628}}","{{0.1719411343724972, 0.0019026782704261076}, {-5.819065512629362, 0.025368298674108083}}","{{0.17504686283458135, 0.002069279133109545}, {-5.862503898403807, 0.027824617507019304}}","{{0.17837298618762107, 0.0023838555671849867}, {-5.910195982580808, 0.03268288560914741}}"
11,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.1395416382375756, 0.001515970136511852}, {-5.422420744225199, 0.017161315196749925}}","{{0.14493929088490223, 0.0014210378739654222}, {-5.4853933584440036, 0.01661058806403631}}","{{0.14944425757988417, 0.0014599103265852944}, {-5.539452958783788, 0.017764374737648164}}","{{0.15344234904999385, 0.0014612131657740076}, {-5.588762753581809, 0.018115165497070332}}","{{0.15697227807875155, 0.0013861506324227525}, {-5.6334751879460745, 0.017474669212808644}}","{{0.16069501032822572, 0.001442390222503826}, {-5.681870707189239, 0.018884493327133944}}","{{0.16484712922901534, 0.0015661380914017856}, {-5.737232292533097, 0.02127570760457306}}","{{0.1688583674692606, 0.0017748799398272274}, {-5.7920525484831185, 0.02457699005034458}}","{{0.1726545191977781, 0.0019289910453973826}, {-5.84519867268236, 0.026798688701017467}}","{{0.17591812876182464, 0.0021573793102955315}, {-5.891977076433694, 0.030208806226088358}}","{{0.17888841212515658, 0.0023193059930818453}, {-5.935493334924739, 0.03271511215181893}}","{{0.18214197176823818, 0.0026571079300927}, {-5.984319365666279, 0.038195853067355075}}"
